chip,bbox
d754d,"[83.87901412091358, 19.563449963266184, 83.90380355653085, 19.58694637435812]"
5c339,"[81.38858890837356, 27.448313797194984, 81.41458074085605, 27.4714996098454]"
0d6fc,"[81.46649937539395, 27.494282502850528, 81.49251813933866, 27.517482551226134]"
54eab,"[81.62160371213552, 27.42431484309759, 81.64763744183254, 27.447543131703938]"
c8c24,"[76.62487778177967, 25.105079055309254, 76.65056867782178, 25.128469262934487]"
c9a6e,"[82.29142775216194, 27.119181367807318, 82.31752168047922, 27.142528073243327]"
41401,"[87.50929323788442, 25.46006931091641, 87.53485927293323, 25.483277059011453]"
d3970,"[87.687274630957, 25.413078974488997, 87.71286368011987, 25.43631677733365]"
29881,"[81.88095118561597, 27.469089031549228, 81.90704819519944, 27.49236422259218]"
a8770,"[83.75014258606595, 19.149422515418976, 83.77484588708442, 19.17289755184953]"
abe87,"[83.24347322412208, 19.456956540468475, 83.26816638490739, 19.48037731647425]"
d6b27,"[82.24441609063433, 27.53557222086019, 82.27060218511922, 27.55891259718236]"
36e33,"[76.50023420250074, 25.291323273145213, 76.5259442549142, 25.31469473785846]"
c176b,"[83.75091004933189, 19.195640055983592, 83.77562122933057, 19.219115911246334]"
73908,"[87.84063263570494, 25.50472125399382, 87.86626998195953, 25.52798498857285]"
90551,"[82.34612941045555, 27.372850793216017, 82.37229572919058, 27.39620836126702]"
1864e,"[76.85608833263503, 25.28721283216747, 76.88186027272305, 25.31064135291424]"
a0bfa,"[87.7629076823285, 25.29710748223953, 87.78848566934494, 25.32035778396129]"
2317b,"[87.73917001845545, 25.57463524398067, 87.76480380088488, 25.597882033046886]"
38b06,"[83.04360773324655, 19.066240718399495, 83.0682117434657, 19.089633317635094]"
3f04f,"[77.00781176362752, 25.238980412023338, 77.03359929585018, 25.262432526656713]"
08448,"[76.89627377596042, 24.593356183548654, 76.92189942539517, 24.616784805603178]"
7a5bc,"[82.37372670916032, 27.511222940141245, 82.39993249680265, 27.534586097366937]"
3406c,"[81.59582881755692, 27.447543131703938, 81.62186285650635, 27.47076675433348]"
797fa,"[82.24467654924096, 27.558677912278288, 82.27086838232076, 27.58201843911405]"
a1ab4,"[82.34922561458036, 27.627004521415532, 82.37545518090485, 27.650363947802003]"
ebaf5,"[81.72474594779165, 27.35446539552034, 81.75078386906459, 27.377712263421238]"
312bb,"[81.59533330419016, 27.355101070008068, 81.62134518571767, 27.37832455711113]"
04e04,"[82.45146511457682, 27.51041893718901, 82.47768607615527, 27.533795793644316]"
ca8f9,"[83.43500001810212, 19.223270611261135, 83.45967779669986, 19.246710748914136]"
0677a,"[76.90296913200605, 25.0323904952944, 76.92869231759511, 25.055824159255724]"
df50a,"[87.28027519677849, 25.530078370870385, 87.30581312097674, 25.553246946493985]"
67192,"[81.4675779997263, 27.748495693383852, 81.49365803604044, 27.77169585601384]"
1afc9,"[81.57172194417055, 27.794304692830437, 81.59783466601144, 27.817524044081495]"
f040d,"[82.42229749906994, 27.256542158434975, 82.44845033071243, 27.279912445843006]"
eaec7,"[83.5591785784723, 19.383380602698097, 83.58389834986137, 19.40683736607624]"
c3b8a,"[76.57441185314002, 25.12874552638403, 76.6000991021798, 25.152127834009516]"
0c47a,"[81.59447183556793, 27.19332449636514, 81.62044519376379, 27.216547746324284]"
86e2f,"[81.38907657711019, 27.586979116032314, 81.41510153846731, 27.61016490657177]"
99fcf,"[83.61196918397043, 19.636898569500715, 83.63673864086404, 19.660365197318896]"
545fb,"[87.96891709578303, 25.6194853359099, 87.99460336465076, 25.642770886644108]"
e504f,"[77.05939643231275, 25.284479030012633, 77.08520318406183, 25.30793972875796]"
e38e6,"[82.13883225807223, 27.35162556982362, 82.16495239729589, 27.374946439286333]"
d370e,"[81.54504550029822, 27.65575677052427, 81.57111915255865, 27.67897119011434]"
e5505,"[82.29222529419114, 27.188501050846863, 82.31833613362782, 27.211848233107965]"
72251,"[82.44636132141676, 27.117642755865482, 82.47248503661245, 27.14101643433828]"
7bd71,"[87.84111631069081, 25.574067011130726, 87.86676892013475, 25.59733098405089]"
75777,"[83.48929051355836, 19.592420311926148, 83.51403716433498, 19.615871902608365]"
e8217,"[76.24483194693136, 25.178168250181223, 76.27047154746356, 25.20149762964409]"
53e0d,"[82.53048134976545, 27.60198277118201, 82.55674066269505, 27.625374087756267]"
74f36,"[81.44188224154256, 27.81791544957596, 81.46797373955114, 27.841110834393294]"
f6be0,"[77.23769006450277, 25.304958003735102, 77.26353228083225, 25.32844692672363]"
48220,"[82.31779283983573, 27.165149510544556, 82.34390302883615, 27.188501050846863]"
260fb,"[81.52085486237257, 28.02561104280314, 81.5470135282404, 28.048821017403323]"
128f8,"[87.40798415424186, 25.62222565360626, 87.43356607655629, 25.645416081666887]"
853de,"[87.25489363198487, 25.57636449521902, 87.28043664655303, 25.59952863828951]"
ac94e,"[81.20847862884978, 28.095827894756276, 81.23458855692935, 28.118979336938608]"
f28f8,"[81.39014521860904, 27.887411093130034, 81.4162427723682, 27.910596834170413]"
b9e60,"[81.41713270494188, 28.141530673735858, 81.44329805206449, 28.16472125620545]"
734b9,"[82.19108328509826, 27.39739776726122, 82.21722493379684, 27.420728080611294]"
ad7da,"[83.85504567005653, 19.58694637435812, 83.87983627198571, 19.610440421793903]"
0e8f8,"[82.39644381813744, 27.256807277324576, 82.42259165892736, 27.280173049044347]"
c1a00,"[88.02029945296312, 25.665356919018585, 88.0460053723578, 25.688651226419832]"
61e73,"[82.9723015547361, 19.205776600084683, 82.99691936847617, 19.22916230394546]"
6345c,"[76.85398522156754, 25.148574367909905, 76.87972577318449, 25.17200134220995]"
eac11,"[77.2601108084614, 25.142862796326742, 77.28592004979556, 25.16635339212842]"
61ad4,"[81.62121615389673, 27.354983528223137, 81.64723325650613, 27.378211701154452]"
85502,"[82.55413822133461, 27.439970977156943, 82.58036194420758, 27.463365412082762]"
9e3db,"[77.26482405366677, 25.396965461313712, 77.29069198493548, 25.42045966991603]"
4814b,"[76.69407814189825, 24.595801723643277, 76.7196700008233, 24.6191989927645]"
a8b5f,"[81.46698790805084, 27.60983511353924, 81.49303442414221, 27.633035213958166]"
7646f,"[76.61824821079404, 24.596648845764314, 76.64382729744862, 24.620034278885022]"
2095e,"[76.74752955051297, 24.803200621120077, 76.77317552165397, 24.826607905302026]"
1a793,"[87.7653933381201, 25.690076858654344, 87.79105731089403, 25.713328280219258]"
88bda,"[81.69857395900763, 27.30838161126172, 81.72459559596822, 27.331623707565917]"
cb899,"[81.57004312723826, 27.47076675433348, 81.5960774628231, 27.493985696787806]"
f0696,"[87.25479584334138, 25.53012932467379, 87.28032894732665, 25.553293517767933]"
66c64,"[82.47309145125557, 27.18668401735412, 82.4992371459377, 27.21006274739263]"
f172f,"[83.1201106745839, 19.342844569465807, 83.14476944803774, 19.366249346959012]"
78d12,"[83.4093207288936, 19.1311357077716, 83.43398009404132, 19.154571624329645]"
47d2c,"[87.68819580323054, 25.574892731792442, 87.71382013520515, 25.598130900715052]"
7a40b,"[87.73902815588406, 25.551519479328487, 87.76465686779672, 25.574766207040017]"
c7c62,"[76.85468452876518, 25.19478749688091, 76.88043551812032, 25.21821498638941]"
13a30,"[76.69438948652154, 24.618912073850538, 76.71998637975504, 24.64230957264576]"
55e74,"[81.57111915255865, 27.678757174720527, 81.59720373022373, 27.701976379964044]"
38b29,"[87.78984043682136, 25.528128968176986, 87.81547348681119, 25.5513842177737]"
39a62,"[82.13906875933743, 27.37473278078563, 82.16519455881571, 27.39805378187487]"
84579,"[87.99460336465076, 25.64242357341423, 88.02029945296312, 25.66571350032907]"
4f6eb,"[87.91845767423244, 25.68916657977104, 87.9441499889341, 25.712443856346695]"
cf26e,"[76.80355114165467, 25.172317361833933, 76.82928819872208, 25.19573654494619]"
8134b,"[81.49231248542458, 27.47107773154712, 81.51833100409306, 27.494282502850528]"
bf41f,"[81.49262115036274, 27.5404094843409, 81.51865629992099, 27.56361430100658]"
6bbab,"[83.43670968520887, 19.338842263822812, 83.46140698353624, 19.3622841863381]"
2e97b,"[82.27166887857288, 27.65085942654729, 82.29788886914952, 27.674205179939616]"
238e8,"[76.5756000176995, 25.221185494784674, 76.60130789693972, 25.244568637969103]"
2d221,"[81.38899505656843, 27.563868422316446, 81.41501448005526, 27.58705421657438]"
3ce6b,"[82.58036194420758, 27.46277750536141, 82.60659645731602, 27.486176673296345]"
3e35b,"[83.60605345277449, 19.267126198690846, 83.63075930764329, 19.290586653923413]"
c23d9,"[81.20856804736492, 28.142046468403258, 81.23468927156888, 28.165197835912988]"
35f50,"[76.6215403444955, 24.85086848850708, 76.6471749638252, 24.87425630573941]"
a2faf,"[81.44253982091347, 27.97968157725107, 81.46867082228441, 28.002877001094866]"
7707a,"[81.3639815292993, 27.841267552525256, 81.39006242799681, 27.864448473252093]"
87857,"[76.5708824482564, 24.851418392888, 76.59650840092976, 24.874798198706426]"
005fe,"[81.67396337209199, 27.516504320371197, 81.70002987395938, 27.53974218590622]"
9d421,"[81.28629031901754, 27.957015280319016, 81.31238295781819, 27.980181573621127]"
9c09a,"[81.36329102162021, 27.633275519352274, 81.38932172210876, 27.65645651686587]"
8cd0a,"[76.52710553997338, 25.406608067533117, 76.55284601871509, 25.429984640819423]"
7e527,"[81.69886375289283, 27.354602123293287, 81.72489647936045, 27.377844324711965]"
d3c5a,"[76.24530215883793, 25.224394770027832, 76.27095194016721, 25.247724451573237]"
69a3d,"[81.80222497262668, 27.330916784502417, 81.8282728657664, 27.354177551538545]"
3d4d0,"[76.59979783553811, 25.128469262934487, 76.62548948778463, 25.151855631770115]"
ff131,"[81.62238300353175, 27.562975385803167, 81.64845016519477, 27.58620390584417]"
eeaa2,"[83.0223958075607, 19.320844735963924, 83.0470387148118, 19.344237645542062]"
324e6,"[81.67298138466579, 27.354734054749375, 81.69900890975073, 27.377971584842832]"
eb7bf,"[81.62422314732724, 27.886505783434778, 81.65036924527439, 27.909734844054093]"
7649f,"[81.44058338354081, 27.494371787087605, 81.4665968491394, 27.517567092592717]"
2c844,"[82.39615534630612, 27.23370202958497, 82.42229749906994, 27.25706762374481]"
618f9,"[76.80423216348495, 25.21853166578851, 76.82997964860232, 25.241951346561486]"
89ffb,"[87.99441190294239, 25.619309635054833, 88.02010284382548, 25.642599455362934]"
fb1d1,"[81.38875107709605, 27.49453587837865, 81.41475392633463, 27.517721683712416]"
1ab68,"[83.65398265061513, 19.220198120934512, 83.67868637983828, 19.2436633501865]"
398fa,"[82.19034155455327, 27.328077437138376, 82.21646618554522, 27.35140732782758]"
e3a82,"[87.84241484348475, 25.758985769380796, 87.86810842680458, 25.782250378275293]"
899cf,"[81.59471723379386, 27.239546759037964, 81.62070156599715, 27.262770076750655]"
d2a07,"[87.28011434073224, 25.46072522517196, 87.30563742662387, 25.483893861937474]"
4f036,"[76.93050668189385, 25.17069374872875, 76.95626546770242, 25.19413301748909]"
e91d6,"[82.99664004740963, 19.205509816769297, 83.02126085896445, 19.22889840661293]"
4ab59,"[83.31658616108277, 19.456026975327397, 83.34128828135074, 19.479456384493233]"
af396,"[81.36499204370992, 28.14168937799382, 81.39114640031941, 28.1648701858208]"
2d48c,"[81.77634870401094, 27.33106775179015, 81.8023914283489, 27.35432387155808]"
3ecbc,"[76.64382729744862, 24.619481666744793, 76.66941567097396, 24.642871270837077]"
6ec40,"[76.62365890078509, 25.01263990380673, 76.64932924603745, 25.036029241455147]"
7266a,"[83.91912817677863, 19.077455846677925, 83.94383925509479, 19.10094862521396]"
4751e,"[82.29463516876402, 27.396455846281498, 82.32079710170444, 27.419804461647864]"
8f572,"[83.43705309051822, 19.361956401001212, 83.46175430841251, 19.385398680627745]"
b3244,"[76.625795908252, 25.17440762536916, 76.65150228254598, 25.19779848604384]"
5bca8,"[81.7026946194098, 27.955440523801567, 81.72887392123148, 27.97868409505073]"
946e2,"[77.02226093538327, 24.568583917902153, 77.04790240570237, 24.592031693468776]"
35cb6,"[81.54470231052363, 27.58642677481161, 81.57075919487934, 27.609641120905508]"
1b402,"[76.94789297543998, 24.66202336268876, 76.97354229603239, 24.68546059590112]"
47cf9,"[82.68430836774306, 27.484645244461248, 82.71056865561721, 27.50806270027832]"
87e4c,"[81.18249715730803, 28.142088625442604, 81.20861283604711, 28.16523506930767]"
71505,"[76.82997964860232, 25.241321693331265, 76.85573673208991, 25.264745663094235]"
f4d4e,"[76.84948167026202, 24.848181566759155, 76.87515498468363, 24.871605198744863]"
0e118,"[81.44113738761351, 27.633035213958166, 81.467184137328, 27.656230553671694]"
888cd,"[87.58568426545277, 25.459771177879613, 87.61126450752315, 25.48299187942338]"
aff7a,"[76.77284659172793, 24.802898422006674, 76.7984968451668, 24.826309672023076]"
03875,"[82.55028085769078, 27.162730071345216, 82.57643568582404, 27.18612204269216]"
30f20,"[81.59459446124482, 27.216435666106115, 81.62057330318441, 27.23965894994196]"
0992e,"[81.59872429390998, 27.97906091422199, 81.62488779279579, 28.002285316750523]"
4729c,"[77.26396234193649, 25.350765690536893, 77.28981954505954, 25.374259241430543]"
a7731,"[83.54024892526455, 19.730402390133307, 83.56502555702406, 19.753861944616975]"
0644d,"[82.34390302883615, 27.188005691421065, 82.3700238602769, 27.211361912022777]"
9300d,"[81.54516016952394, 27.67886661404327, 81.57123942432253, 27.702081058128993]"
d1f31,"[82.39963986175478, 27.510959763412593, 82.42585071414229, 27.534327492022577]"
7a7e9,"[88.01971034778849, 25.59601566101593, 88.04540080744864, 25.619309635054833]"
142c9,"[81.26026415642114, 27.957071876069495, 81.28635132206315, 27.980233298291072]"
92571,"[81.41588974374818, 27.81800107083309, 81.44197584728029, 27.841191641984203]"
0a1d5,"[81.36321475391999, 27.61016490657177, 81.38923990979298, 27.633345912544318]"
f8a22,"[81.72595524670618, 27.53934327120203, 81.75203783983312, 27.562590597287326]"
0b41f,"[87.86710256714856, 25.643258474933948, 87.89277520420065, 25.666526984029982]"
4fda6,"[82.47861491005598, 27.602554774555205, 82.50486410550566, 27.625936956252595]"
1250d,"[76.32127993232105, 25.200607129312427, 76.34693810324102, 25.22394905522621]"
e2244,"[81.44003332979513, 27.355705584763893, 81.4660137473599, 27.37890085571082]"
f001c,"[82.39934757534705, 27.48785538971655, 82.42555266570915, 27.511222940141245]"
b07ba,"[81.23433781118929, 28.003342968177627, 81.26043072640756, 28.026499449637566]"
4b47f,"[77.2097682709565, 25.166739003234277, 77.23557430705762, 25.19022203366349]"
e119f,"[82.58069167891229, 27.4858800225007, 82.60693199001852, 27.509279400843653]"
ea9ec,"[82.70914261780477, 27.415021287146406, 82.73539041829173, 27.438442549843263]"
5c916,"[76.88043551812032, 25.21756854526111, 76.90619609258862, 25.241000318445337]"
a9028,"[81.54608244847057, 27.86374256502983, 81.57220676270748, 27.886957205041384]"
a64e2,"[82.29329314877766, 27.28092619319108, 82.31942662960135, 27.304274011896588]"
e7fd9,"[87.84192640180461, 25.6896417918213, 87.86760457344435, 25.712906162155004]"
7a1b6,"[83.53233073852586, 19.22193731589757, 83.55702010277994, 19.245388650036684]"
232fc,"[82.29598522401064, 27.511983521858063, 82.3221757768815, 27.535332935134758]"
ca464,"[81.51952945932592, 27.74830056131643, 81.54562021287477, 27.77151029874907]"
ee694,"[76.74591439538017, 24.68765423593907, 76.77153495634855, 24.711060326101812]"
b6dfe,"[82.1138798864116, 27.44426823161247, 82.14001759320026, 27.467585020861314]"
00720,"[87.45827775687239, 25.43712862016698, 87.48382931477965, 25.460327697839357]"
260a3,"[81.67242392432082, 27.26229220313427, 81.69842932167208, 27.2855295416892]"
a7d1a,"[83.94343054106473, 19.077065937571664, 83.96814439232563, 19.1005614081437]"
1d6e9,"[82.34501355752192, 27.28042887482762, 82.37115707907381, 27.303785768733338]"
0e6c4,"[82.42704646511287, 27.626211119404996, 82.45329131792656, 27.64958432935336]"
904ea,"[87.48401442154015, 25.506394188595447, 87.50958568947424, 25.529597641603562]"
e0965,"[83.24315540588007, 19.43383940286017, 83.26784466302136, 19.457259854182457]"
008f2,"[87.86777231910477, 25.73571692414283, 87.89346549127461, 25.758985769380796]"
1f6f4,"[87.68885864594841, 25.69047177668457, 87.71450836418214, 25.713710207059638]"
4999f,"[81.62290563568064, 27.655414197845058, 81.64899521753934, 27.67864287224862]"
a70b8,"[87.63758874032717, 25.644480856918413, 87.66321877525873, 25.66771051657443]"
8e74e,"[76.69720911986043, 24.826901853589835, 76.72285159741088, 24.85030142192009]"
d4889,"[77.0848078422947, 25.284117628623125, 77.1106189170892, 25.307582327738267]"
0b1c5,"[76.46928939813347, 24.829354520876844, 76.49489289806088, 24.852718056247124]"
13cab,"[87.28054461032174, 25.645665485055293, 87.30610738624064, 25.668833958221597]"
74a6a,"[76.62093841693084, 24.804647408258838, 76.64656288427416, 24.828034791556682]"
0d0b9,"[77.28548943887681, 25.142468903605632, 77.31130291974326, 25.165963434368027]"
db2b7,"[76.84572736004789, 24.59399300201347, 76.87134459859442, 24.61741381449749]"
32e05,"[81.39006242799681, 27.864301406416377, 81.41615435800199, 27.887487151338362]"
0ce86,"[87.73945426629075, 25.62086655180998, 87.76509820822321, 25.644113463592586]"
a96fa,"[76.99553320631401, 24.47649881748346, 77.02115019794242, 24.499941590972927]"
a76d8,"[82.39876404720539, 27.44164640328621, 82.42495763378568, 27.46501359751356]"
315dc,"[82.34529202086787, 27.303534473138363, 82.37144123166212, 27.326891535501066]"
a3d12,"[87.76480380088488, 25.597615393833582, 87.7904473818411, 25.62086655180998]"
374f8,"[81.54538991766337, 27.72508606824332, 81.57148039742947, 27.74830056131643]"
86a15,"[81.56992427992084, 27.44765632079271, 81.59595306603116, 27.470875234047384]"
b25ac,"[76.50080377408686, 25.337544031571124, 76.52652418253513, 25.3609158879799]"
a7ceb,"[82.16787748653357, 27.65179213520415, 82.19407689411372, 27.675119362753282]"
b3545,"[83.58063224146075, 19.198139402680326, 83.60532345168514, 19.221595927102356]"
eb3ab,"[82.26927594794125, 27.442910314632723, 82.295444235385, 27.46625467166554]"
f87d2,"[82.21596186186991, 27.30474312284826, 82.24208589018109, 27.328077437138376]"
fd50d,"[87.76509820822321, 25.643846274255786, 87.79075197273747, 25.66709756401784]"
39ea6,"[83.58316890680945, 19.359921408966347, 83.60788763606926, 19.383380602698097]"
175f5,"[76.50137475053236, 25.383764487601074, 76.52710553997338, 25.407136735898874]"
12a56,"[83.84582290498776, 19.055499272839754, 83.87052169915121, 19.078983523027528]"
f4bc3,"[82.65771336430946, 27.438757850829198, 82.6839570425735, 27.4621703464499]"
fcf2b,"[81.62435576126236, 27.909614513018493, 81.65050754756969, 27.932843612286938]"
f6655,"[81.59620200806553, 27.51687386699525, 81.62225273414323, 27.540097591282684]"
f2eb7,"[82.26822063983522, 27.350486428575785, 82.29436612309188, 27.373830166274946]"
44d2c,"[83.36199682125414, 19.22423670196652, 83.38666585606927, 19.247668395456085]"
47685,"[76.24506690772743, 25.20128154728837, 76.27071159557678, 25.224611077776554]"
728c9,"[83.3590413603426, 19.016192448944025, 83.38367570952602, 19.03962104214671]"
98666,"[76.47537315681328, 25.337805350668575, 76.50108908655648, 25.36117308668401]"
80318,"[81.8023914283489, 27.354026435598207, 81.8284448945194, 27.377287273844612]"
393fe,"[76.2966113330301, 25.27017434802027, 76.32228034879029, 25.29351262694709]"
27ed8,"[87.73931205520906, 25.597750934823917, 87.76495091430998, 25.62099778524712]"
04867,"[82.27007074133252, 27.512227398817824, 82.29625620245181, 27.53557222086019]"
3481c,"[81.44030786420122, 27.425039032269748, 81.46630477635284, 27.44823432054081]"
84cba,"[81.51811478585836, 27.44786825152627, 81.5441330465747, 27.47107773154712]"
4a400,"[82.08843348414648, 27.490692255062143, 82.11457742663195, 27.514004677473135]"
56672,"[76.95552791746773, 25.14725075257282, 76.98128579235143, 25.17069374872875]"
b7d5c,"[81.4657237593695, 27.309394317175027, 81.49169846086922, 27.332594281868502]"
7de97,"[76.74655925123555, 24.733873015926388, 76.77218995783674, 24.7572795835219]"
421fa,"[87.6629632994444, 25.62124690959717, 87.688593021251, 25.644480856918413]"
6dc18,"[87.35691831617724, 25.599250857826064, 87.382485610945, 25.62243253290906]"
a8607,"[87.76524568277603, 25.666961603482115, 87.79090454832973, 25.690212959143388]"
e5b5f,"[76.47453378052174, 25.2684732859494, 76.50023420250074, 25.29184044785831]"
ee272,"[82.39529199918587, 27.16438581151577, 82.42141712798647, 27.187750873329243]"
32930,"[76.87901777930037, 25.125143642809004, 76.90475745611295, 25.148574367909905]"
9324a,"[82.34753174277218, 27.48837640766913, 82.37372670916032, 27.511734819603063]"
ebcb7,"[81.31251629171881, 28.026282278893163, 81.33863130972014, 28.049453383905472]"
2b5bf,"[83.43534097131746, 19.24638507043526, 83.46002264345944, 19.269825564968905]"
75b7c,"[82.99636112770226, 19.18238829369931, 83.02097813872405, 19.205776600084683]"
6ac8d,"[87.40790568509125, 25.59910863627849, 87.43348260126393, 25.622299062055184]"
be1ae,"[76.29636588310943, 25.247061738943415, 76.32202978168009, 25.270399857811885]"
e2cf7,"[83.87012364957569, 19.055119446944403, 83.89482522785883, 19.078606398611647]"
c0e01,"[83.84819960676707, 19.194141038034928, 83.872922083225, 19.217627840873792]"
05a7c,"[76.39565108664655, 25.038108941028955, 76.42128696579226, 25.061461975913627]"
8a834,"[83.7563443274163, 19.519155449547128, 83.78111124687895, 19.542637043158077]"
711c9,"[82.47369931958326, 27.232893154756276, 82.49985640659985, 27.256272267322917]"
0aa46,"[87.86760457344435, 25.712602423359264, 87.89329260252423, 25.735871184545]"
a1b28,"[82.16471052482095, 27.35140732782758, 82.19083574620953, 27.37473278078563]"
6a238,"[82.60525832133632, 27.39316918421959, 82.63148046126827, 27.416572229828475]"
e5a9c,"[76.46901678554897, 24.806242260293704, 76.49461524581294, 24.82960560523265]"
655d6,"[87.76495091430998, 25.620730871023543, 87.79059958396017, 25.64398209489067]"
ffde0,"[83.87615492971224, 19.401711943067497, 83.90091613463761, 19.425205341015765]"
8c0cc,"[81.67495358949493, 27.67827078703102, 81.70105939222955, 27.701508988360455]"
b0b5e,"[83.29189093496335, 19.433223752855376, 83.31658616108277, 19.456649955910876]"
bf4fd,"[82.58003260255441, 27.439674907787882, 82.6062613244535, 27.463073865384732]"
86e43,"[82.34837716511132, 27.557690822867592, 82.37458940101696, 27.581049741781023]"
2d0ef,"[81.54585105614659, 27.817524044081495, 81.57196406558297, 27.84073863511663]"
7b6f0,"[82.24572149151243, 27.651099885151535, 82.27193634649069, 27.674441014520255]"
38086,"[82.24285984406698, 27.39693641103311, 82.26901164829053, 27.42027588526491]"
e64d8,"[87.43298389463058, 25.483445074415165, 87.45854064342689, 25.50663983410521]"
9668f,"[87.81673114209822, 25.736020975186737, 87.84241484348475, 25.75928118394886]"
92039,"[82.29275858265439, 27.234713779563087, 82.3188807294459, 27.258061279948993]"
70f9f,"[76.67157603255318, 24.80408153614996, 76.69720911986043, 24.827476894129674]"
d15bf,"[87.89191708945134, 25.550641410341512, 87.91757396982422, 25.57391385841473]"
e93b9,"[83.77368705009829, 19.102836701459438, 83.79838530693524, 19.126313646760163]"
4b12e,"[82.40022548080303, 27.55716827153065, 82.42644787754192, 27.580536356685453]"
fc010,"[76.90368313466844, 25.078603028903096, 76.92941671758192, 25.102037225029832]"
53839,"[83.53806478795057, 19.591733242714174, 83.56281736743112, 19.61519055278966]"
cdfb5,"[87.68688226397096, 25.343729119816352, 87.71245628366165, 25.366966765746007]"
9a3b9,"[87.25499166092125, 25.622599373194323, 87.28054461032174, 25.645763466123995]"
48d0d,"[83.52986314390678, 19.06014637613827, 83.55452527129516, 19.0835950998213]"
bce51,"[76.6937671857147, 24.57269129869951, 76.71935401643533, 24.59608833820085]"
200d3,"[76.85051451931955, 24.917504127250883, 76.87620325678668, 24.940928529546532]"
707fb,"[81.33762616841673, 27.725787866010073, 81.3636737246042, 27.748964020295844]"
88000,"[76.62396305543197, 25.035749804889434, 76.64963852908934, 25.05913935995167]"
d2823,"[87.53547530627878, 25.621791883951367, 87.56108120492243, 25.645004130047074]"
a846e,"[82.31725084576593, 27.118936794155644, 82.34334975518975, 27.142288007419562]"
1e507,"[76.52421302729317, 25.175506280010882, 76.5499017315601, 25.198880850771534]"
02160,"[82.1157455508903, 27.62912288466003, 82.14192889189253, 27.65244069212951]"
cb0e7,"[81.64669659098179, 27.2855295416892, 81.67270232126505, 27.308762265958702]"
d13c0,"[81.31231640931621, 27.956953763430153, 81.33841451463167, 27.98012492298739]"
c94f1,"[83.87211965053588, 19.17065193915755, 83.89684097343289, 19.194141038034928]"
740a4,"[81.69973729938133, 27.493261803408625, 81.72580345241815, 27.516504320371197]"
26725,"[81.23443793132373, 28.04956207445415, 81.26054210249174, 28.072718490961268]"
c120e,"[82.26638594541038, 27.188741591719797, 82.29249177885684, 27.212084247420165]"
fd482,"[76.61735816567976, 24.527314650172023, 76.64292223527337, 24.550699434136863]"
87e27,"[83.04906753690153, 19.50553151290654, 83.07374432547931, 19.528929655464914]"
17fc9,"[83.58171626675752, 19.267474938600923, 83.60641923954985, 19.290932606703162]"
40645,"[81.49418112074241, 27.887057795322306, 81.5203003164344, 27.910262838078182]"
6014e,"[82.11318483875112, 27.374946439286333, 82.13930554323056, 27.3982628473312]"
d6192,"[81.54631439084183, 27.90996077420584, 81.57245003658825, 27.933175463191912]"
